event_time_utc|event_name|client_app_name|client_host|username|session_id|xact_id|duration_ms|sql_text_action|statement_data|batch_text
--------------|----------|---------------|-----------|--------|----------|-------|-----------|---------------|--------------|----------
2026-04-24 10:08:47.4620000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select id from HT_Round_Bill where round_end is null|NULL|select id from HT_Round_Bill where round_end is null
2026-04-24 10:08:47.4780000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|16|select * from View_CheckIn_Ds where Cin_Room_no='414' and (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก')|NULL|select * from View_CheckIn_Ds where Cin_Room_no='414' and (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก')
2026-04-24 10:08:47.5620000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select * from HT_SET_CusType order by id|NULL|select * from HT_SET_CusType order by id
2026-04-24 10:08:47.5700000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|3|select * from HT_CheckIn_H where Cin_no='CH26-005227'|NULL|select * from HT_CheckIn_H where Cin_no='CH26-005227'
2026-04-24 10:08:47.5740000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select * from HT_CheckIn_Product where Cin_no='CH26-005227'|NULL|select * from HT_CheckIn_Product where Cin_no='CH26-005227'
2026-04-24 10:08:47.5740000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|4|select * from HT_CheckIn_Ds where Cin_no='CH26-005227' order by Cin_Room_No|NULL|select * from HT_CheckIn_Ds where Cin_no='CH26-005227' order by Cin_Room_No
2026-04-24 10:08:47.5900000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|9|update HT_CheckIn_H set Cin_Work_number=361383 where Cin_No='CH26-005227'|NULL|update HT_CheckIn_H set Cin_Work_number=361383 where Cin_No='CH26-005227'
2026-04-24 10:08:47.5940000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|3|select * from HT_Customers where Cust_no ='C21592'|NULL|select * from HT_Customers where Cust_no ='C21592'
2026-04-24 10:08:47.6030000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|7|select cin_no,cin_pay_cash,cin_pay_credit,cin_pay_date from View_Pay_Ds where cin_no='CH26-005227' group by cin_no,cin_pay_cash,cin_pay_credit,cin_pay_date order by cin_pay_date|NULL|select cin_no,cin_pay_cash,cin_pay_credit,cin_pay_date from View_Pay_Ds where cin_no='CH26-005227' group by cin_no,cin_pay_cash,cin_pay_credit,cin_pay_date order by cin_pay_date
2026-04-24 10:08:47.6080000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select * from HT_Log_Debt where log_ds = 'ตัดจากใบลงทะเบียน CH26-005227' order by log_date|NULL|select * from HT_Log_Debt where log_ds = 'ตัดจากใบลงทะเบียน CH26-005227' order by log_date
2026-04-24 10:08:50.0070000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select id from HT_Round_Bill where round_end is null|NULL|select id from HT_Round_Bill where round_end is null
2026-04-24 10:08:50.0110000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|3|select Cin_Work_number from HT_CheckIn_H where Cin_no='CH26-005227'|NULL|select Cin_Work_number from HT_CheckIn_H where Cin_no='CH26-005227'
2026-04-24 10:08:50.0170000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|select name from TB_SET_Branch order by id|NULL|select name from TB_SET_Branch order by id
2026-04-24 10:08:51.1310000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|0|delete from HT_CheckIn_Product where Cin_no='CH26-005227'|NULL|delete from HT_CheckIn_Product where Cin_no='CH26-005227'
2026-04-24 10:08:51.1330000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|2|select top 1 pay_no from HT_CheckIn_Pay where  Cin_Pay_Date between '4/01/2026 00:00:00' and '4/30/2026 23:59:59' order by pay_No Desc|NULL|select top 1 pay_no from HT_CheckIn_Pay where  Cin_Pay_Date between '4/01/2026 00:00:00' and '4/30/2026 23:59:59' order by pay_No Desc
2026-04-24 10:08:51.1430000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|64|0|9|update [HT_CheckIn_Ds] SET  [Cin_Room_Pay_Total]=711,[Cin_note]='' where id=25006|NULL|update [HT_CheckIn_Ds] SET  [Cin_Room_Pay_Total]=711,[Cin_note]='' where id=25006
