table_name|row_count|data_checksum
----------|---------|-------------
dbo.HT_Bank_Accounts|0|NULL
dbo.HT_Bank_Transfer|0|NULL
dbo.HT_Bill_Debt_Ds|0|NULL
dbo.HT_Bill_Debt_H|0|NULL
dbo.HT_Book_Date|1001|434492795
dbo.HT_Book_Ds|15955|-1810309716
dbo.HT_Book_Ds2|0|NULL
dbo.HT_Book_H|14816|-1177003725
dbo.HT_Book_H2|0|NULL
dbo.HT_Book_Pro|0|NULL
dbo.HT_Book_Status|0|NULL
dbo.HT_Booking_Notes|0|NULL
dbo.HT_Changed_Room|3867|-99221458
dbo.HT_CheckIn_Ds|24869|939628334
dbo.HT_CheckIn_H|19337|231823606
dbo.HT_CheckIn_Other_People|19344|-671066777
dbo.HT_CheckIn_Pay|27092|662237873
dbo.HT_CheckIn_Product|0|NULL
dbo.HT_ContinueTime|0|NULL
dbo.HT_Cupon|17894|358336839
dbo.HT_Customers|21618|737619336
dbo.HT_Deposit|0|NULL
dbo.HT_EMP_SMS|78|816109718
dbo.HT_Housewife|30213|-1258449478
dbo.HT_INVOICE|5|-1596420769
dbo.HT_Invoice_Ds|3|-797908444
dbo.HT_Invoice_H|2|-420017286
dbo.HT_Invoice_Note|0|NULL
dbo.HT_Log|6226|-978622866
dbo.HT_Log_Debt|686|969881965
dbo.HT_Order_Down|0|NULL
dbo.HT_Order_Up|0|NULL
dbo.HT_POWER_LOG|29758|197229314
dbo.HT_Products|5|-76242705
dbo.HT_Products_Price|20|60992963
dbo.HT_Receipt_Ds|26065|1637626909
dbo.HT_Receipt_H|20654|1091690319
dbo.HT_Register|0|NULL
dbo.HT_Room_SMS|2379|79971951
dbo.HT_Room_Status|4453|35051275
dbo.HT_Rooms|58|-1263909376
dbo.HT_Rooms_Cancel|298|349062000
dbo.HT_Rooms_Price|32|108003328
dbo.HT_Rooms_Repair|683|1475300702
dbo.HT_Round_Bill|4575|1442243196
dbo.HT_SET_CusType|4|60991939
dbo.HT_SET_CusType_Main|4|-1559441940
dbo.HT_SET_ProductType|6|-1846235120
dbo.HT_SET_RoomType|8|-190850900
dbo.HT_SET_Sale|1|-857234568
dbo.TB_FOLIO|6|318944669
dbo.TB_MRP_EMPLOYEE|4|377986504
dbo.TB_MRP_Permission|24|-734248344
dbo.TB_MRP_Permission_name|1|-1257486252
dbo.TB_Pay_History|3|1717026599
dbo.Tb_Save_Image|9688|820115857
dbo.TB_SET_Branch|1|-1164670100
dbo.TB_SET_MyType2|5|-139989707
dbo.TB_SET_MyType2_2|20|482180701
dbo.TB_SET_MyType3|40|762759575
dbo.TB_SETTINGS|1|-1146683317
dbo.Tb_Version|1|882
