event_time_utc|event_name|client_app_name|client_host|username|session_id|xact_id|duration_ms|sql_text_action|statement_data|batch_text
--------------|----------|---------------|-----------|--------|----------|-------|-----------|---------------|--------------|----------
2026-04-24 11:48:28.0290000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|select id from HT_Round_Bill where round_end is null|NULL|select id from HT_Round_Bill where round_end is null
2026-04-24 11:48:28.0560000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|select * from HT_Rooms where room_no='306'|NULL|select * from HT_Rooms where room_no='306'
2026-04-24 11:48:28.0810000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|24|select * from View_CheckIn_Ds where Cin_Room_no='306' and (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก')|NULL|select * from View_CheckIn_Ds where Cin_Room_no='306' and (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก')
2026-04-24 11:48:28.0820000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|0|select * from HT_ContinueTime where Con_Type='รายวัน'|NULL|select * from HT_ContinueTime where Con_Type='รายวัน'
2026-04-24 11:48:28.0860000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|3|select total_price_balance from HT_CheckIn_H where cin_no ='CH26-005233'|NULL|select total_price_balance from HT_CheckIn_H where cin_no ='CH26-005233'
2026-04-24 11:48:28.0880000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|1|select cupon_no from HT_Cupon where cupon_cin_no='CH26-005233' and cupon_print=0|NULL|select cupon_no from HT_Cupon where cupon_cin_no='CH26-005233' and cupon_print=0
2026-04-24 11:48:45.4470000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|4|select top 1 pay_no from HT_CheckIn_Pay where  Cin_Pay_Date between '4/01/2026 00:00:00' and '4/30/2026 23:59:59' order by pay_No Desc|NULL|select top 1 pay_no from HT_CheckIn_Pay where  Cin_Pay_Date between '4/01/2026 00:00:00' and '4/30/2026 23:59:59' order by pay_No Desc
2026-04-24 11:48:45.4650000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|17|select * from View_CheckIn_Ds where Cin_Room_no='306' and (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก')|NULL|select * from View_CheckIn_Ds where Cin_Room_no='306' and (cin_room_status='เข้าพัก' or cin_room_status='ยังไม่เข้าพัก')
2026-04-24 11:48:45.4830000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|17|select * from View_CheckIn_Ds where Cin_Room_No='306' and Cin_No='CH26-005233'|NULL|select * from View_CheckIn_Ds where Cin_Room_No='306' and Cin_No='CH26-005233'
2026-04-24 11:48:45.4890000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|5|delete from HT_Room_Status where room_no='306' and room_CheckIn_No='CH26-005233'|NULL|delete from HT_Room_Status where room_no='306' and room_CheckIn_No='CH26-005233'
2026-04-24 11:48:45.5040000|sql_batch_completed|.Net SqlClient Data Provider|<legacy-host>|sa|59|0|14|delete from HT_CheckIn_Ds where Cin_Room_No='306' and Cin_No='CH26-005233'|NULL|delete from HT_CheckIn_Ds where Cin_Room_No='306' and Cin_No='CH26-005233'
