==== Tables (filter to HT_* and View_* — adjust if your prefix differs) ====
table_name|create_date|modify_date|approx_row_count
----------|-----------|-----------|----------------
dbo.HT_Bank_Accounts|2017-01-30 22:14:33.987|2017-01-30 22:14:34.003|0
dbo.HT_Bank_Transfer|2017-01-30 22:14:34.050|2017-01-30 22:14:34.063|0
dbo.HT_Bill_Debt_Ds|2013-10-28 01:09:02.863|2013-10-28 01:09:02.867|0
dbo.HT_Bill_Debt_H|2013-10-28 01:09:02.833|2014-09-17 10:59:04.497|0
dbo.HT_Book_Date|2012-12-15 14:34:13.013|2012-12-15 14:41:52.350|1009
dbo.HT_Book_Ds|2012-12-15 12:55:07.570|2013-10-21 09:47:42.013|15949
dbo.HT_Book_Ds2|2012-11-26 11:04:57.977|2012-11-26 11:04:57.980|0
dbo.HT_Book_H|2013-11-11 11:08:24.130|2016-06-30 14:22:54.140|14809
dbo.HT_Book_H2|2012-11-26 11:04:58.057|2012-11-26 11:04:58.060|0
dbo.HT_Book_Pro|2015-06-01 12:00:56.503|2015-06-01 12:00:56.597|0
dbo.HT_Book_Status|2012-11-26 11:05:00.710|2012-11-26 11:05:00.713|0
dbo.HT_Booking_Notes|2026-01-29 22:16:52.837|2026-01-29 22:16:52.860|0
dbo.HT_Changed_Room|2013-06-29 12:50:05.870|2017-04-07 13:07:58.803|3866
dbo.HT_CheckIn_Ds|2013-01-20 01:19:57.530|2013-08-09 22:37:15.360|24862
dbo.HT_CheckIn_H|2012-11-26 11:05:00.787|2018-12-29 18:21:03.673|19329
dbo.HT_CheckIn_Other_People|2013-07-19 16:50:07.437|2013-07-19 16:50:07.467|19336
dbo.HT_CheckIn_Pay|2012-12-15 12:54:20.577|2019-09-30 10:38:37.333|27090
dbo.HT_CheckIn_Product|2012-12-15 12:54:38.750|2012-12-15 12:54:38.760|0
dbo.HT_ContinueTime|2015-06-21 23:56:11.543|2015-06-21 23:56:11.547|0
dbo.HT_Cupon|2013-08-09 22:42:49.180|2013-08-09 22:42:49.183|17894
dbo.HT_Customers|2013-03-06 16:28:55.473|2014-09-19 20:46:24.820|21606
dbo.HT_Deposit|2012-11-26 11:05:03.587|2012-11-26 11:05:03.590|0
dbo.HT_EMP_SMS|2012-12-15 12:57:08.083|2012-12-15 12:57:08.117|78
dbo.HT_Housewife|2013-07-19 16:50:07.437|2013-08-03 18:36:09.023|30208
dbo.HT_INVOICE|2016-06-29 13:59:32.223|2016-06-29 13:59:32.227|5
dbo.HT_Invoice_Ds|2014-08-06 11:30:28.857|2014-08-06 11:30:28.860|3
dbo.HT_Invoice_H|2014-08-06 11:30:28.827|2014-08-06 11:30:28.857|2
dbo.HT_Invoice_Note|2017-06-23 23:13:21.230|2019-11-10 12:01:55.183|0
dbo.HT_Log|2018-12-29 18:21:03.303|2018-12-29 18:21:03.493|6224
dbo.HT_Log_Debt|2013-03-01 01:56:36.497|2013-03-01 01:56:36.507|686
dbo.HT_Order_Down|2012-11-26 11:05:03.663|2012-11-26 11:05:03.667|0
dbo.HT_Order_Up|2012-11-26 11:05:03.697|2012-11-26 11:05:03.700|0
dbo.HT_POWER_LOG|2016-06-09 12:06:16.370|2016-06-09 12:06:16.373|29749
dbo.HT_Products|2012-11-26 11:05:05.737|2014-09-19 20:46:24.693|5
dbo.HT_Products_Price|2012-12-15 12:57:33.160|2012-12-15 12:57:33.180|20
dbo.HT_Receipt_Ds|2012-12-15 12:57:49.267|2012-12-15 12:57:49.277|26063
dbo.HT_Receipt_H|2012-11-26 11:05:05.830|2014-02-12 16:31:29.767|20652
dbo.HT_Register|2012-11-26 11:05:05.847|2012-11-26 11:05:05.860|0
dbo.HT_Room_SMS|2012-12-15 12:58:12.893|2012-12-15 12:58:12.903|2379
dbo.HT_Room_Status|2012-11-26 11:05:07.557|2024-12-13 13:33:56.800|4443
dbo.HT_Rooms|2013-10-28 01:09:58.860|2015-06-19 00:44:47.797|58
dbo.HT_Rooms_Cancel|2013-07-20 20:34:44.300|2013-07-20 20:39:11.377|297
dbo.HT_Rooms_Price|2012-12-15 12:58:46.053|2015-02-19 11:20:45.633|32
dbo.HT_Rooms_Repair|2013-10-31 22:20:01.680|2013-10-31 22:20:01.697|683
dbo.HT_Round_Bill|2013-07-20 13:10:55.000|2013-07-20 13:10:55.207|4575
dbo.HT_SET_CusType|2012-12-15 12:58:56.447|2013-01-19 23:35:28.337|4
dbo.HT_SET_CusType_Main|2012-12-15 12:59:11.327|2013-03-06 18:05:28.197|4
dbo.HT_SET_ProductType|2012-12-15 12:59:23.177|2012-12-15 12:59:23.187|6
dbo.HT_SET_RoomType|2012-12-15 12:59:35.120|2012-12-15 12:59:35.130|8
dbo.HT_SET_Sale|2016-06-30 14:22:54.093|2016-06-30 14:22:54.123|1
dbo.TB_FOLIO|2015-05-02 15:45:03.993|2019-11-10 12:01:54.757|6
dbo.TB_MRP_EMPLOYEE|2012-12-15 12:59:50.753|2012-12-15 12:59:50.763|4
dbo.TB_MRP_Permission|2013-06-28 21:07:29.670|2013-06-28 21:07:29.683|24
dbo.TB_MRP_Permission_name|2012-11-26 11:05:09.977|2012-11-26 11:05:09.980|1
dbo.TB_Pay_History|2015-05-02 15:45:04.070|2015-05-02 15:45:04.073|3
dbo.Tb_Save_Image|2012-12-25 01:36:10.533|2012-12-25 02:05:57.100|9688
dbo.TB_SET_Branch|2017-11-20 10:53:34.413|2017-11-20 10:53:34.507|1
dbo.TB_SET_MyType2|2015-05-02 15:45:04.087|2015-05-02 15:45:04.090|5
dbo.TB_SET_MyType2_2|2015-05-02 15:45:04.103|2015-05-02 15:45:04.107|20
dbo.TB_SET_MyType3|2015-05-02 15:45:04.120|2015-05-02 15:45:04.123|40
dbo.TB_SETTINGS|2012-11-26 11:05:12.163|2019-09-14 18:26:04.430|1
dbo.Tb_Version|2013-04-10 06:22:31.997|2013-04-10 06:22:32.010|1
 
==== Columns ====
table_name|ord|column_name|data_type|max_length|precision|scale|is_nullable|is_identity|default_value
----------|---|-----------|---------|----------|---------|-----|-----------|-----------|-------------
dbo.HT_Bank_Accounts|1|id|int|4|10|0|1|0|NULL
dbo.HT_Bank_Accounts|2|AC_NAME|varchar|100|0|0|1|0|NULL
dbo.HT_Bank_Accounts|3|AC_BANK_NAME|varchar|100|0|0|1|0|NULL
dbo.HT_Bank_Accounts|4|AC_BANK_NO|varchar|100|0|0|1|0|NULL
dbo.HT_Bank_Accounts|5|AC_BANK_TYPE|varchar|100|0|0|1|0|NULL
dbo.HT_Bank_Accounts|6|AC_BANK_BRANCH|varchar|100|0|0|1|0|NULL
dbo.HT_Bank_Transfer|1|id|int|4|10|0|1|0|NULL
dbo.HT_Bank_Transfer|2|Bank_Name|varchar|100|0|0|1|0|NULL
dbo.HT_Bank_Transfer|3|Bank_Account_Name|varchar|100|0|0|1|0|NULL
dbo.HT_Bank_Transfer|4|Bank_Account_No|varchar|100|0|0|1|0|NULL
dbo.HT_Bank_Transfer|5|Bank_Account_Type|varchar|100|0|0|1|0|NULL
dbo.HT_Bank_Transfer|6|Bank_Account_BRANCH|varchar|100|0|0|1|0|NULL
dbo.HT_Bank_Transfer|7|Cust_Name|varchar|100|0|0|1|0|NULL
dbo.HT_Bank_Transfer|8|Cust_Bank_Name|varchar|100|0|0|1|0|NULL
dbo.HT_Bank_Transfer|9|Transfer_Date|datetime|8|23|3|1|0|NULL
dbo.HT_Bank_Transfer|10|Transfer_Time|varchar|100|0|0|1|0|NULL
dbo.HT_Bank_Transfer|11|Transfer_no|varchar|100|0|0|1|0|NULL
dbo.HT_Bank_Transfer|12|Transfer_Price|float|8|53|0|1|0|NULL
dbo.HT_Bank_Transfer|13|Transfer_Note|float|8|53|0|1|0|NULL
dbo.HT_Bank_Transfer|14|Transfer_Slip|varbinary|-1|0|0|1|0|NULL
dbo.HT_Bank_Transfer|15|All_Price|float|8|53|0|1|0|NULL
dbo.HT_Bank_Transfer|16|emp_name|varchar|100|0|0|1|0|NULL
dbo.HT_Bill_Debt_Ds|1|id|int|4|10|0|0|1|NULL
dbo.HT_Bill_Debt_Ds|2|Bill_No|varchar|20|0|0|1|0|NULL
dbo.HT_Bill_Debt_Ds|3|DS_ID|int|4|10|0|1|0|NULL
dbo.HT_Bill_Debt_Ds|4|DS_NO|varchar|50|0|0|1|0|NULL
dbo.HT_Bill_Debt_Ds|5|DS_NAME|varchar|250|0|0|1|0|NULL
dbo.HT_Bill_Debt_Ds|6|DS_UNIT|varchar|50|0|0|1|0|NULL
dbo.HT_Bill_Debt_Ds|7|DS_NUM|float|8|53|0|1|0|NULL
dbo.HT_Bill_Debt_Ds|8|DS_PRICE|float|8|53|0|1|0|NULL
dbo.HT_Bill_Debt_Ds|9|DS_PRICE_TOTAL|float|8|53|0|1|0|NULL
dbo.HT_Bill_Debt_H|1|Bill_No|varchar|20|0|0|1|0|NULL
dbo.HT_Bill_Debt_H|2|Bill_Cust_ID|varchar|50|0|0|1|0|NULL
dbo.HT_Bill_Debt_H|3|Bill_Cust_Name|varchar|250|0|0|1|0|NULL
dbo.HT_Bill_Debt_H|4|Bill_Cust_Address|varchar|500|0|0|1|0|NULL
dbo.HT_Bill_Debt_H|5|Bill_Cust_Tel|varchar|250|0|0|1|0|NULL
dbo.HT_Bill_Debt_H|6|Bill_Cust_Fax|varchar|250|0|0|1|0|NULL
dbo.HT_Bill_Debt_H|7|Bill_Date|datetime|8|23|3|1|0|NULL
dbo.HT_Bill_Debt_H|8|Bill_Ref|varchar|250|0|0|1|0|NULL
dbo.HT_Bill_Debt_H|9|Bill_Price_Type|varchar|50|0|0|1|0|NULL
dbo.HT_Bill_Debt_H|10|Bill_Type|varchar|50|0|0|1|0|NULL
dbo.HT_Bill_Debt_H|11|Bill_Total|float|8|53|0|1|0|NULL
dbo.HT_Bill_Debt_H|12|Bill_Pay|float|8|53|0|1|0|NULL
dbo.HT_Bill_Debt_H|13|Bill_Debt|float|8|53|0|1|0|NULL
dbo.HT_Bill_Debt_H|14|Bill_Pay_CASH|float|8|53|0|1|0|NULL
dbo.HT_Bill_Debt_H|15|Bill_Pay_CREDIT|float|8|53|0|1|0|NULL
dbo.HT_Bill_Debt_H|16|Bill_Status|varchar|50|0|0|1|0|NULL
dbo.HT_Bill_Debt_H|17|Bill_by|varchar|50|0|0|1|0|NULL
dbo.HT_Bill_Debt_H|18|Bill_Note|varchar|50|0|0|1|0|NULL
dbo.HT_Book_Date|1|id|int|4|10|0|0|0|NULL
dbo.HT_Book_Date|2|Book_no|varchar|50|0|0|1|0|NULL
dbo.HT_Book_Date|3|Book_type|varchar|50|0|0|1|0|NULL
dbo.HT_Book_Date|4|Book_date_ds|datetime|8|23|3|1|0|NULL
dbo.HT_Book_Date|5|Book_Num|int|4|10|0|1|0|NULL
dbo.HT_Book_Date|6|Book_USE|int|4|10|0|0|0|((0))
dbo.HT_Book_Date|7|Book_ok|int|4|10|0|0|0|((0))
dbo.HT_Book_Date|8|Cin_no|varchar|50|0|0|1|0|NULL
dbo.HT_Book_Ds|1|id|int|4|10|0|0|1|NULL
dbo.HT_Book_Ds|2|Book_No|varchar|50|0|0|1|0|NULL
dbo.HT_Book_Ds|3|Book_Room_Type|varchar|50|0|0|1|0|NULL
dbo.HT_Book_Ds|4|Book_Room_Start|datetime|8|23|3|1|0|NULL
dbo.HT_Book_Ds|5|Book_Room_End|datetime|8|23|3|1|0|NULL
dbo.HT_Book_Ds|6|Book_Room_Price|float|8|53|0|1|0|NULL
dbo.HT_Book_Ds|7|Book_Room_Night|float|8|53|0|1|0|NULL
dbo.HT_Book_Ds|8|Book_Room_Num|float|8|53|0|1|0|NULL
dbo.HT_Book_Ds|9|Book_Room_PriceToTal|float|8|53|0|1|0|NULL
dbo.HT_Book_Ds|10|Book_Room_Note|varchar|500|0|0|1|0|NULL
dbo.HT_Book_Ds|11|Book_status|int|4|10|0|0|0|((1))
dbo.HT_Book_Ds2|1|id|int|4|10|0|1|0|NULL
